company_id,year,metric,computed,source,difference,category
BAJAJ-AUTO,Mar 2023,ROE,20.638921054424088,26.5,5.86,Version Difference
AXISBANK,Mar 2017,ROE,6.525363604114934,18.4,11.87,Version Difference
AXISBANK,Mar 2018,ROE,0.42985967262136526,18.4,17.97,Version Difference
AXISBANK,Mar 2019,ROE,6.898026606884752,18.4,11.5,Version Difference
AXISBANK,Mar 2020,ROE,1.8844104702339586,18.4,16.52,Version Difference
AXISBANK,Mar 2021,ROE,6.359441666505782,18.4,12.04,Version Difference
AXISBANK,Mar 2022,ROE,11.01377461716035,18.4,7.39,Version Difference
AXISBANK,Mar 2023,ROE,7.381666037401469,18.4,11.02,Version Difference
BAJAJFINSV,Mar 2013,ROE,28.377339143809277,11.72,16.66,Version Difference
BAJAJFINSV,Mar 2014,ROE,23.528780068728523,11.72,11.81,Version Difference
BAJAJFINSV,Mar 2015,ROE,21.724231220128054,11.72,10.0,Version Difference
BAJAJFINSV,Mar 2016,ROE,20.405912199426428,11.72,8.69,Version Difference
BAJAJFINSV,Mar 2017,ROE,21.360906445421335,11.72,9.64,Version Difference
BAJAJFINSV,Mar 2018,ROE,20.387638529512277,11.72,8.67,Version Difference
BAJAJFINSV,Mar 2019,ROE,22.636899747262003,11.72,10.92,Version Difference
BAJAJFINSV,Mar 2020,ROE,19.148936170212767,11.72,7.43,Version Difference
BAJAJFINSV,Mar 2021,ROE,20.56098241696902,11.72,8.84,Version Difference
BAJAJFINSV,Mar 2022,ROE,20.657440306109773,11.72,8.94,Version Difference
BAJAJFINSV,Mar 2023,ROE,26.310685887904846,11.72,14.59,Version Difference
BAJAJFINSV,Mar 2024,ROE,25.850351412279537,11.72,14.13,Version Difference
BAJAJHLDNG,Mar 2022,ROE,9.630736193455022,14.8,5.17,Version Difference
BAJFINANCE,Mar 2018,ROE,15.749621403331652,22.1,6.35,Version Difference
BAJFINANCE,Mar 2020,ROE,16.283098243009157,22.1,5.82,Version Difference
BAJFINANCE,Mar 2021,ROE,11.972479549271359,22.1,10.13,Version Difference
BAJFINANCE,Mar 2022,ROE,16.07759705350811,22.1,6.02,Version Difference
BANKBARODA,Mar 2015,ROE,9.400733019182256,16.7,7.3,Version Difference
BANKBARODA,Mar 2016,ROE,-11.841517069383338,16.7,28.54,Version Difference
BANKBARODA,Mar 2017,ROE,4.307242204007709,16.7,12.39,Version Difference
BANKBARODA,Mar 2018,ROE,-3.9427908774642444,16.7,20.64,Version Difference
BANKBARODA,Mar 2019,ROE,2.1201541930322207,16.7,14.58,Version Difference
BANKBARODA,Mar 2020,ROE,1.2890255439924314,16.7,15.41,Version Difference
BANKBARODA,Mar 2021,ROE,1.9662580410243962,16.7,14.73,Version Difference
BANKBARODA,Mar 2022,ROE,8.635121749447583,16.7,8.06,Version Difference
BHARTIARTL,Mar 2013,ROE,4.50498787806526,14.9,10.4,Version Difference
BHARTIARTL,Mar 2014,ROE,5.05221233014258,14.9,9.85,Version Difference
BHARTIARTL,Mar 2017,ROE,6.286967994426079,14.9,8.61,Version Difference
BHARTIARTL,Mar 2018,ROE,3.1408643129359315,14.9,11.76,Version Difference
BHARTIARTL,Mar 2019,ROE,2.3633843439788302,14.9,12.54,Version Difference
BHARTIARTL,Mar 2020,ROE,-39.748525503921186,14.9,54.65,Version Difference
BHARTIARTL,Mar 2021,ROE,-20.972639221074417,14.9,35.87,Version Difference
BEL,Mar 2013,ROE,15183.333333333334,26.3,15157.03,Version Difference
BEL,Mar 2014,ROE,13600.0,26.3,13573.7,Version Difference
BEL,Mar 2015,ROE,17100.0,26.3,17073.7,Version Difference
BEL,Mar 2016,ROE,11141.666666666668,26.3,11115.37,Version Difference
BEL,Mar 2017,ROE,10153.333333333334,26.3,10127.03,Version Difference
BEL,Mar 2018,ROE,4616.129032258064,26.3,4589.83,Version Difference
BEL,Mar 2019,ROE,3851.020408163265,26.3,3824.72,Version Difference
BEL,Mar 2020,ROE,3318.181818181818,26.3,3291.88,Version Difference
BEL,Mar 2021,ROE,3559.322033898305,26.3,3533.02,Version Difference
BEL,Mar 2022,ROE,3478.260869565217,26.3,3451.96,Version Difference
BEL,Mar 2023,ROE,3981.333333333333,26.3,3955.03,Version Difference
BEL,Mar 2024,ROE,4744.047619047619,26.3,4717.75,Version Difference
BHEL,Mar 2013,ROE,21.90906412648532,1.05,20.86,Version Difference
BHEL,Mar 2014,ROE,10.557414609146544,1.05,9.51,Version Difference
BHEL,Mar 2020,ROE,-5.12212142358688,1.05,6.17,Version Difference
BHEL,Mar 2021,ROE,-10.391409767925182,1.05,11.44,Version Difference
BOSCHLTD,Mar 2020,ROE,7.011866235167206,16.0,8.99,Version Difference
BOSCHLTD,Mar 2021,ROE,4.9068512674335745,16.0,11.09,Version Difference
BPCL,Mar 2013,ROE,11.540983606557377,41.9,30.36,Version Difference
BPCL,Mar 2014,ROE,20.848765432098766,41.9,21.05,Version Difference
BPCL,Mar 2015,ROE,22.524598883077743,41.9,19.38,Version Difference
BPCL,Mar 2016,ROE,29.103403612290425,41.9,12.8,Version Difference
BPCL,Mar 2017,ROE,30.847853596807163,41.9,11.05,Version Difference
BPCL,Mar 2018,ROE,26.740216827330077,41.9,15.16,Version Difference
BPCL,Mar 2019,ROE,21.999226106023475,41.9,19.9,Version Difference
BPCL,Mar 2020,ROE,10.035037775101282,41.9,31.86,Version Difference
BPCL,Mar 2021,ROE,32.340584445896745,41.9,9.56,Version Difference
BPCL,Mar 2022,ROE,22.50650226375108,41.9,19.39,Version Difference
BPCL,Mar 2023,ROE,3.9815403011845594,41.9,37.92,Version Difference
BPCL,Mar 2024,ROE,35.511337343822305,41.9,6.39,Version Difference
BRITANNIA,Mar 2013,ROE,46.59498207885305,57.1,10.51,Version Difference
BRITANNIA,Mar 2014,ROE,49.49874686716792,57.1,7.6,Version Difference
BRITANNIA,Mar 2016,ROE,39.4359464627151,57.1,17.66,Version Difference
BRITANNIA,Mar 2017,ROE,32.826409495548965,57.1,24.27,Version Difference
BRITANNIA,Mar 2018,ROE,29.47739283617146,57.1,27.62,Version Difference
BRITANNIA,Mar 2019,ROE,27.157300728897248,57.1,29.94,Version Difference
BRITANNIA,Mar 2020,ROE,31.66023166023166,57.1,25.44,Version Difference
BRITANNIA,Mar 2023,ROE,65.53480475382003,57.1,8.43,Version Difference
CANBK,Mar 2013,ROE,11.896250397203687,17.9,6.0,Version Difference
CANBK,Mar 2014,ROE,8.854718981972429,17.9,9.05,Version Difference
CANBK,Mar 2015,ROE,9.020682014034225,17.9,8.88,Version Difference
CANBK,Mar 2016,ROE,-7.821659981487196,17.9,25.72,Version Difference
CANBK,Mar 2017,ROE,4.06804093988756,17.9,13.83,Version Difference
CANBK,Mar 2018,ROE,-10.496788356776973,17.9,28.4,Version Difference
CANBK,Mar 2019,ROE,1.8466926689484995,17.9,16.05,Version Difference
CANBK,Mar 2020,ROE,-4.661942435567636,17.9,22.56,Version Difference
CANBK,Mar 2021,ROE,4.73802275276398,17.9,13.16,Version Difference
CANBK,Mar 2022,ROE,8.802046854676176,17.9,9.1,Version Difference
CHOLAFIN,Mar 2020,ROE,12.853658536585366,20.2,7.35,Version Difference
CIPLA,Mar 2015,ROE,11.377522680985003,16.8,5.42,Version Difference
CIPLA,Mar 2017,ROE,8.250956632653061,16.8,8.55,Version Difference
CIPLA,Mar 2018,ROE,9.958535385480358,16.8,6.84,Version Difference
CIPLA,Mar 2019,ROE,9.938715694111377,16.8,6.86,Version Difference
CIPLA,Mar 2020,ROE,9.515955084692001,16.8,7.28,Version Difference
COALINDIA,Mar 2013,ROE,35.80623865324311,52.0,16.19,Version Difference
COALINDIA,Mar 2014,ROE,35.63814734459013,52.0,16.36,Version Difference
COALINDIA,Mar 2015,ROE,34.01729735087849,52.0,17.98,Version Difference
COALINDIA,Mar 2016,ROE,40.95828668216921,52.0,11.04,Version Difference
COALINDIA,Mar 2017,ROE,37.84974304592544,52.0,14.15,Version Difference
COALINDIA,Mar 2018,ROE,34.87957181088314,52.0,17.12,Version Difference
COALINDIA,Mar 2019,ROE,66.01398601398601,52.0,14.01,Version Difference
COALINDIA,Mar 2021,ROE,34.78284681526918,52.0,17.22,Version Difference
COALINDIA,Mar 2022,ROE,40.27999907285075,52.0,11.72,Version Difference
COALINDIA,Mar 2024,ROE,45.16982956605826,52.0,6.83,Version Difference
DABUR,Mar 2013,ROE,36.563245823389025,19.2,17.36,Version Difference
DABUR,Mar 2014,ROE,34.48795180722892,19.2,15.29,Version Difference
DABUR,Mar 2015,ROE,31.84257602862254,19.2,12.64,Version Difference
DABUR,Mar 2016,ROE,30.064732678014867,19.2,10.86,Version Difference
DABUR,Mar 2017,ROE,26.408087476789767,19.2,7.21,Version Difference
DABUR,Mar 2019,ROE,25.67471590909091,19.2,6.47,Version Difference
DIVISLAB,Mar 2013,ROE,24.070371851259495,12.2,11.87,Version Difference
DIVISLAB,Mar 2014,ROE,26.07962213225371,12.2,13.88,Version Difference
DIVISLAB,Mar 2015,ROE,24.37070938215103,12.2,12.17,Version Difference
DIVISLAB,Mar 2016,ROE,26.22874446773818,12.2,14.03,Version Difference
